Gene	fdr	slfc	significant	sig_up	sig_down
WASH7P	0.1581774801015854	0.3630349040031433	FALSE	FALSE	FALSE
ENSG00000241860	0.8843503594398499	0.07550986111164093	FALSE	FALSE	FALSE
ENSG00000308579	0.1474197655916214	0.596653163433075	FALSE	FALSE	FALSE
ENSG00000310528	0.8135374188423157	0.1149323582649231	FALSE	FALSE	FALSE
WASH9P	0.5834397077560425	0.14464132487773895	FALSE	FALSE	FALSE
ENSG00000292994	0.5894191861152649	0.21515192091464996	FALSE	FALSE	FALSE
ENSG00000290385	0.8053997159004211	0.12668505311012268	FALSE	FALSE	FALSE
LINC00115	0.9761611819267272	-0.0097366077825427	FALSE	FALSE	FALSE
LINC01409	0.6363674402236938	-0.155882328748703	FALSE	FALSE	FALSE
FAM87B	0.5782666206359863	0.19811193645000455	FALSE	FALSE	FALSE
LINC01128	2.5542334137001543e-22	1.0248408317565918	TRUE	TRUE	FALSE
FAM41C	0.8970291018486023	0.03269117325544357	FALSE	FALSE	FALSE
ENSG00000272438	0.11033661663532256	-0.30736926198005676	FALSE	FALSE	FALSE
LINC02593	0.9626412987709044	-0.01204804144799709	FALSE	FALSE	FALSE
SAMD11	0.03743551671504974	0.32921814918518066	FALSE	FALSE	FALSE
NOC2L	2.3416201703346795e-12	0.7340729832649231	FALSE	FALSE	FALSE
KLHL17	0.5593770742416382	-0.11240679770708084	FALSE	FALSE	FALSE
PLEKHN1	1.3884654492812842e-7	1.2867085933685305	TRUE	TRUE	FALSE
PERM1	0.00582909071817994	0.6843271255493164	FALSE	FALSE	FALSE
ENSG00000272512	0.00203272583894431	1.1682957410812378	TRUE	TRUE	FALSE
HES4	0.00183725927490741	0.8218593001365662	FALSE	FALSE	FALSE
ENSG00000303623	0.04481721669435501	-0.7196309566497803	FALSE	FALSE	FALSE
ISG15	0.01919872313737869	0.3834826648235321	FALSE	FALSE	FALSE
AGRN	0.6895932555198669	-0.04629743471741676	FALSE	FALSE	FALSE
ENSG00000242590	0.5785382390022278	0.08399271965026855	FALSE	FALSE	FALSE
ENSG00000291156	0.4620147943496704	0.2532559931278229	FALSE	FALSE	FALSE
ENSG00000304119	0.887346088886261	0.07324252277612686	FALSE	FALSE	FALSE
RNF223	0.158590629696846	-0.5396617650985718	FALSE	FALSE	FALSE
C1orf159	0.6361272931098938	0.08015821874141693	FALSE	FALSE	FALSE
TNFRSF18	0.4587707221508026	-0.3353208005428314	FALSE	FALSE	FALSE
TNFRSF4	0.590772807598114	-0.2516816258430481	FALSE	FALSE	FALSE
ENSG00000304412	0.10998033732175828	0.6231414079666138	FALSE	FALSE	FALSE
SDF4	5.780073086825155e-10	0.6442844271659851	FALSE	FALSE	FALSE
B3GALT6	0.0308353491127491	0.2722916305065155	FALSE	FALSE	FALSE
C1QTNF12	0.36484238505363464	-0.360947847366333	FALSE	FALSE	FALSE
ENSG00000260179	0.02059769630432129	-0.9065788984298706	FALSE	FALSE	FALSE
UBE2J2	0.2416139096021652	0.1457062065601349	FALSE	FALSE	FALSE
LINC01786	0.00478545576333999	-0.6298048496246338	FALSE	FALSE	FALSE
SCNN1D	0.00586122088134288	-0.4319142997264862	FALSE	FALSE	FALSE
ACAP3	0.06778033077716827	0.20507147908210752	FALSE	FALSE	FALSE
PUSL1	0.4231025278568268	0.1518242508172989	FALSE	FALSE	FALSE
INTS11	0.13568520545959473	0.16068865358829498	FALSE	FALSE	FALSE
ENSG00000240731	0.06769111752510071	0.5878867506980896	FALSE	FALSE	FALSE
CPTP	6.757237770216307e-6	0.6091496348381042	FALSE	FALSE	FALSE
TAS1R3	0.6638813614845276	-0.2088993638753891	FALSE	FALSE	FALSE
DVL1	0.02682122029364109	0.2435892224311829	FALSE	FALSE	FALSE
ENSG00000304860	0.4257737398147583	0.32150784134864807	FALSE	FALSE	FALSE
MXRA8	0.1798160821199417	-0.1748531311750412	FALSE	FALSE	FALSE
AURKAIP1	0.3433470129966736	0.1700497716665268	FALSE	FALSE	FALSE
CCNL2	0.9260483384132384	0.01334653608500957	FALSE	FALSE	FALSE
MRPL20-AS1	0.12373851239681244	0.21642862260341644	FALSE	FALSE	FALSE
MRPL20	0.1799103021621704	0.1983511745929718	FALSE	FALSE	FALSE
ENSG00000301639	0.3475455343723297	-0.34068864583969116	FALSE	FALSE	FALSE
MRPL20-DT	0.8297140598297119	-0.06092816963791847	FALSE	FALSE	FALSE
ANKRD65	3.116533384985541e-14	-2.285735607147217	TRUE	FALSE	TRUE
ANKRD65-AS1	0.4891203641891479	-0.27564358711242676	FALSE	FALSE	FALSE
TMEM88B	0.05467155948281288	-0.6524036526679993	FALSE	FALSE	FALSE
LINC01770	2.1032972654211335e-5	-1.4456571340560913	TRUE	FALSE	TRUE
VWA1	7.096943406945312e-19	-1.4149152040481567	TRUE	FALSE	TRUE
ATAD3C	0.9429275393486024	-0.03654900565743446	FALSE	FALSE	FALSE
ATAD3B	6.68328823394404e-7	0.6668238639831543	FALSE	FALSE	FALSE
ENSG00000290916	0.9467192888259888	0.03426336497068405	FALSE	FALSE	FALSE
ATAD3A	0.0023300836328417	0.4435774385929108	FALSE	FALSE	FALSE
TMEM240	0.11274805665016174	-0.40779879689216614	FALSE	FALSE	FALSE
SSU72	0.9995952248573304	1.3859241153113544e-4	FALSE	FALSE	FALSE
SSU72-AS1	1.6898763715289533e-4	0.985226273536682	FALSE	FALSE	FALSE
FNDC10	0.11005578935146332	0.3413545787334442	FALSE	FALSE	FALSE
ENSG00000286989	0.984646201133728	-0.01163061428815126	FALSE	FALSE	FALSE
ENSG00000272106	3.9395331441482995e-6	0.9259355664253236	FALSE	FALSE	FALSE
MIB2	0.5370471477508545	-0.09488097578287125	FALSE	FALSE	FALSE
MMP23B	0.01922520622611046	-0.9017400741577148	FALSE	FALSE	FALSE
CDK11B	0.8139424324035645	-0.04142462089657783	FALSE	FALSE	FALSE
ENSG00000272004	0.9256260395050048	-0.04488004744052887	FALSE	FALSE	FALSE
SLC35E2B	5.440312088467181e-4	-0.3818153440952301	FALSE	FALSE	FALSE
ENSG00000310190	0.18646183609962463	-0.4619077444076538	FALSE	FALSE	FALSE
ENSG00000310238	0.5448577404022217	0.25132647156715393	FALSE	FALSE	FALSE
CDK11A	0.27114224433898926	-0.2258649468421936	FALSE	FALSE	FALSE
ENSG00000268575	0.08084987848997116	-0.34187522530555725	FALSE	FALSE	FALSE
ENSG00000293188	0.5800154805183411	0.21102170646190643	FALSE	FALSE	FALSE
ENSG00000290854	0.3292502462863922	-0.29495593905448914	FALSE	FALSE	FALSE
NADK	9.791173397388777e-6	0.4224404692649842	FALSE	FALSE	FALSE
ENSG00000302550	0.28955599665641785	0.3050707280635834	FALSE	FALSE	FALSE
GNB1	0.5168259143829346	0.07599630951881409	FALSE	FALSE	FALSE
GNB1-DT	0.10273849964141846	0.6441050171852112	FALSE	FALSE	FALSE
ENSG00000306476	0.8018811941146851	0.08372312039136887	FALSE	FALSE	FALSE
CALML6	0.05477447062730789	0.5598371624946594	FALSE	FALSE	FALSE
TMEM52	0.25485727190971375	0.4520004689693451	FALSE	FALSE	FALSE
PRKCZ	0.9735836386680604	-0.01182616595178842	FALSE	FALSE	FALSE
PRKCZ-AS1	0.01009394694119691	-0.5544320344924927	FALSE	FALSE	FALSE
FAAP20	0.2064218819141388	-0.19444897770881653	FALSE	FALSE	FALSE
ENSG00000304038	0.6761397123336792	0.20286479592323303	FALSE	FALSE	FALSE
SKI	7.661906420253217e-4	0.2927338182926178	FALSE	FALSE	FALSE
ENSG00000287356	0.5037021636962891	-0.22893984615802765	FALSE	FALSE	FALSE
MORN1	0.6952964663505554	0.09953573346138	FALSE	FALSE	FALSE
ENSG00000292993	0.32610052824020386	0.2718181014060974	FALSE	FALSE	FALSE
ENSG00000272420	0.7516975998878479	-0.1510395109653473	FALSE	FALSE	FALSE
RER1	2.1211189960013146e-7	0.45071280002593994	FALSE	FALSE	FALSE
PEX10	0.7098278403282166	0.06946058571338654	FALSE	FALSE	FALSE
PLCH2	3.4796605064002506e-7	1.3722262382507324	TRUE	TRUE	FALSE
PANK4	2.1582192820000443e-14	0.8778328895568848	FALSE	FALSE	FALSE
ENSG00000272449	0.1840024292469025	0.4296666979789734	FALSE	FALSE	FALSE
TNFRSF14-AS1	0.533803403377533	0.1710846722126007	FALSE	FALSE	FALSE
TNFRSF14	0.6847209930419922	0.11419737339019775	FALSE	FALSE	FALSE
ENSG00000228037	0.2229643166065216	-0.41580653190612793	FALSE	FALSE	FALSE
PRXL2B	0.00169378146529197	0.40159547328948975	FALSE	FALSE	FALSE
MMEL1	0.6536456942558289	0.1915244907140732	FALSE	FALSE	FALSE
TTC34	0.4046653211116791	0.3309193551540375	FALSE	FALSE	FALSE
ENSG00000287828	0.5111922025680542	-0.2710082232952118	FALSE	FALSE	FALSE
ARHGEF16	0.3853565454483032	-0.34713611006736755	FALSE	FALSE	FALSE
MEGF6	0.463369756937027	-0.10211976617574692	FALSE	FALSE	FALSE
ENSG00000238260	4.863454972081627e-9	1.2422699928283691	TRUE	TRUE	FALSE
TPRG1L	1.4359954114695483e-8	0.7327876091003418	FALSE	FALSE	FALSE
WRAP73	0.08488300442695618	-0.23922894895076752	FALSE	FALSE	FALSE
TP73	0.3868376314640045	-0.26055315136909485	FALSE	FALSE	FALSE
GFOD3P	2.2376521469080754e-10	-0.6693721413612366	FALSE	FALSE	FALSE
SMIM1	5.12388794504659e-7	-1.678960204124451	TRUE	FALSE	TRUE
LRRC47	0.2124924808740616	0.15802964568138125	FALSE	FALSE	FALSE
ENSG00000272153	0.2121032327413559	-0.461526483297348	FALSE	FALSE	FALSE
CEP104	0.05876811593770981	0.2365933060646057	FALSE	FALSE	FALSE
DFFB	0.7063825130462646	-0.08119802176952362	FALSE	FALSE	FALSE
C1orf174	3.527092339936644e-4	-0.45457935333251953	FALSE	FALSE	FALSE
LINC01134	0.03194300457835197	0.6584944725036621	FALSE	FALSE	FALSE
AJAP1	0.07597345858812332	0.3816414177417755	FALSE	FALSE	FALSE
NPHP4	0.13224714994430542	0.2742958068847656	FALSE	FALSE	FALSE
KCNAB2	0.00562834599986672	0.3555630147457123	FALSE	FALSE	FALSE
CHD5	5.272780803161845e-25	2.0278379917144775	TRUE	TRUE	FALSE
ENSG00000285629	7.895387534517795e-5	-0.6498615741729736	FALSE	FALSE	FALSE
RPL22	2.052880881819874e-5	-0.5938629508018494	FALSE	FALSE	FALSE
RNF207-AS1	0.9637033939361572	0.02551279962062835	FALSE	FALSE	FALSE
RNF207	5.053376080468297e-4	-0.5309820175170898	FALSE	FALSE	FALSE
ICMT	0.00105702888686209	0.32795536518096924	FALSE	FALSE	FALSE
ICMT-DT	0.7583828568458557	0.1244700253009796	FALSE	FALSE	FALSE
GPR153	1.0540837683947756e-4	-0.47107917070388794	FALSE	FALSE	FALSE
ACOT7	3.044715900842737e-13	0.8826882243156433	FALSE	FALSE	FALSE
ENSG00000271746	0.4661757946014404	0.12693023681640625	FALSE	FALSE	FALSE
HES2	2.3857875930843875e-5	1.425489902496338	TRUE	TRUE	FALSE
ESPN	0.15252679586410522	0.365237832069397	FALSE	FALSE	FALSE
TNFRSF25	0.8410173654556274	-0.03971840068697929	FALSE	FALSE	FALSE
PLEKHG5	0.34746304154396057	-0.11997015029191972	FALSE	FALSE	FALSE
NOL9	0.8247399926185608	0.03596227988600731	FALSE	FALSE	FALSE
ZBTB48	0.7244641780853271	0.06157387048006058	FALSE	FALSE	FALSE
KLHL21	1.6800353231329252e-15	0.6672504544258118	FALSE	FALSE	FALSE
ENSG00000295286	0.6736741065979004	0.15321648120880127	FALSE	FALSE	FALSE
ENSG00000304810	0.3083365559577942	-0.4419238865375519	FALSE	FALSE	FALSE
PHF13	7.976702181622386e-4	-0.33992525935173035	FALSE	FALSE	FALSE
THAP3	0.9481919407844543	0.01051890756934881	FALSE	FALSE	FALSE
